date,EPU_CAN,IP_CAN,INF_CAN,EX_CAN,IM_CAN,RECESS_CAN,GDP_CAN,GDPC_CAN,EXR_CAN,CCI_CAN,UNEMP_CAN,EPU_GER,IP_GER,INF_GER,UNEMP_GER,IM_GER,EX_GER,RECESS_GER,GDP_GER,GDPC_GER,EXR_GER,EPU_JAP,IP_JAP,INF_JAP,UNEMP_JAP,EX_JAP,RECESS_JAP,GDP_JAP,GDPC_JAP,IM_JAP,EXR_JAP,EPU_USA,IP_USA,YS_USA,INF_USA,UNEMP_USA,EX_USA,IM_USA,RECESS_USA,GDP_USA,GDPC_USA,CCI_USA,EPU_MEX,IP_MEX,INF_MEX,GDP_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,EPU_CHI,IP_CHI,INF_CHI,IM_CHI,EX_CHI,TB_CHI,RECESS_CHI,EXR_CHI,UNEMP_CHI,GDPC_CHI,GDP_CHI,CCI_CHI,CCI_GER,CCI_JAP,CCI_MEX,YS_CAN,YS_MEX,YS_JAP,YS_CHI,YS_GER
1997-09-01,55.58457,83.29949,,,,0.0,,,1.3871619047619048,101.070298897675,,64.0072,,,,,,0.0,,,,121.31161,,,,,1.0,,,,120.89,49.32,82.0327,0.33,,4.9,,,0.0,,,106.0,,76.4888864205348,,,,3.4,,,,0.0,70.86267,,,,,,1.0,8.2852,,,,100.3508,98.76414,99.29176,,,,1.62,,
1997-10-01,68.98654,84.27513,,111164.3,94760.0,0.0,339839.5,,1.3869045454545454,100.611424648345,,72.82929,,,,126064.405596479,141865600000.0,0.0,5647.488,,,111.97896,,,,,1.0,,,58245.5,121.06045454545456,74.45,82.7656,0.26,,4.7,1159.431,1282.987,0.0,12577.495,45862.0,105.6,0.2016807,77.4422126611706,,4033.01,,3.3,,846861.3125,831056.625,0.0,83.15766,,,,,3.90569669977209,1.0,8.2836,,,,100.271,98.91415,98.89922,,,,1.489,,
1997-11-01,83.78521,84.3758,,,,0.0,,,1.4128222222222222,100.381844480787,,68.68809,,,,,,0.0,,,,184.22212,,,,,1.0,,,,125.38166666666666,81.3,83.427,0.16,,4.6,,,0.0,,,107.2,,77.9909711175101,,,,3.4,,,,0.0,69.05575,,,,,,1.0,8.2801,,,,100.2253,98.94118,98.71341,,,,1.506,,
1997-12-01,85.26065,84.65187,,,,0.0,,,1.4270909090909092,100.458364202116,,88.88281,,,,,,0.0,,,,166.27532,,,,,1.0,,,,129.73409090909092,64.06,83.784,0.09,,4.7,,,0.0,,,102.1,,78.1734714117003,,,,3.1,,,,0.0,20.72247,,,,,,1.0,8.2798,,,,100.2465,98.91625,98.65774,,,,1.314,,
1998-01-01,119.92243,84.02958000000001,0.99594245665802,114783.5,95955.8,0.0,344638.0,33814.0,1.440945,100.743508166148,8.278,49.25668,75.49196583333332,0.911183535014403,,130833.488672099,145052200000.0,0.0,5703.081,32933.0,1.7596676,204.7343,101.372,0.661974191385911,4.25,-10150.0,1.0,471168.0,31789.0,57712.3,129.5475,110.97,84.1564,0.19,1.55227909874364,4.6,1164.787,1331.107,0.0,12703.742,46204.0,106.6,0.2650235,79.0865899665685,15.9283950119353,4094.735,9.13604,3.5,9161.89527783381,885293.0,847139.625,0.0,77.70583,,-0.773186011549318,1455815.0264504,2457726.04607972,5.9892916000532,1.0,8.2789,3.24,828.594691043134,2371.6268064760898,100.2353,98.90392,98.63587,,,,1.198,,
1998-02-01,119.86056,85.06425,,,,0.0,,,1.4334105263157897,100.888999552068,,32.46657,,,,,,1.0,,,,110.65317,,,,,1.0,,,,125.8515789473684,85.12,84.3066,0.16,,4.6,,,0.0,,,110.4,,80.2663771541871,,,,3.4,,,,0.0,98.6848,,,,,,1.0,8.279,,,,99.9042,98.96787,98.5874,,,,1.385,,
1998-03-01,88.21996,85.90243000000001,,,,0.0,,,1.4165772727272727,100.804326897195,,79.80081,,,,,,1.0,,,,146.3011,,,,,1.0,,,,129.08227272727274,70.96,84.342,0.09,,4.7,,,0.0,,,106.5,,80.7764809893506,,,,3.3,,,,0.0,64.9212,,,,,,1.0,8.2791,,,,99.37794,99.16403,98.50974,,,,1.26,,
1998-04-01,79.16266,85.5257,,116075.0,96475.8,0.0,344820.5,,1.4297727272727274,100.511252711053,,42.082,,,,133917.291784736,147537200000.0,1.0,5676.749,,,110.55696,,,,,1.0,,,55167.9,131.75363636363636,77.97,84.6339,0.07,,4.3,1151.95,1361.614,0.0,12821.339,46504.0,108.7,0.1402131,80.4329063362907,,4124.38975,,3.1,,887103.625,868088.1875,0.0,19.43978,,,,,4.87098327570205,1.0,8.2781,,,,98.93546,99.34174,98.4151,,,,1.382,,
1998-05-01,107.92609,84.84266,,,,0.0,,,1.44522,100.228486130253,,103.61317,,,,,,1.0,,,,112.1656,,,,,1.0,,,,134.89600000000002,64.9,85.1867,0.06,,4.4,,,0.0,,,106.5,,80.841327881015,,,,3.3,,,,0.0,41.80422,,,,,,1.0,8.2795,,,,98.49665,99.56412,98.31679,,,,1.255,,
1998-06-01,102.99039,84.79047,,,,0.0,,,1.4655090909090909,99.8978946028285,,73.61322,,,,,,1.0,,,,105.7727,,,,,1.0,,,,140.33045454545456,64.3,84.6809,-0.02,,4.5,,,0.0,,,105.6,,79.9035786245393,,,,3.3,,,,0.0,68.29856,,,,,,1.0,8.2798,,,,98.06482,99.89177,98.23237,,,,0.98,,
1998-07-01,112.55696,83.46661,,118430.0,94308.0,0.0,347962.5,,1.486895652173913,99.4672704690425,,103.73401,,,,134716.800283637,146010700000.0,1.0,5703.081,,,194.72318,,,,,1.0,,,55259.4,140.78739130434784,68.22,84.3445,0.0,,4.5,1146.707,1379.986,0.0,12982.752,46943.0,105.2,0.3965893,80.1867937080314,,4144.67125,,3.3,,878132.3125,859930.5,0.0,100.43605,,,,,4.08213460546347,1.0,8.2799,,,,97.78438,100.2568,98.19056,,,,1.178,,
1998-08-01,168.67478,85.61010999999999,,,,0.0,,,1.5346380952380954,99.2209224888078,,87.88341,,,,,,1.0,,,,136.80428,,,,,1.0,,,,144.68,121.53,86.0816,0.07,,4.5,,,0.0,,,104.4,,80.5948689007267,,,,3.1,,,,0.0,38.2254,,,,,,1.0,8.28,,,,97.85287,100.4434,98.22422,,,,1.102,,
1998-09-01,142.73442,85.8531,,,,0.0,,,1.5217619047619049,99.1577241799688,,155.45721,,,,,,1.0,,,,139.23989,,,,,1.0,,,,134.4804761904762,154.07,86.0023,0.14,,4.6,,,0.0,,,100.9,,80.3697855471714,,,,3.2,,,,0.0,74.3297,,,,,,1.0,8.2782,,,,98.03916,100.5898,98.32072,,,,0.748,,
1998-10-01,195.25143,86.02705999999999,,123074.5,98121.0,0.0,352677.3,,1.5451761904761905,99.2374617985368,,77.70743,,,,134145.724182887,143561300000.0,1.0,5701.618,,,126.75991,,,,,1.0,,,53939.9,121.04857142857142,113.83,86.591,0.44,,4.5,1189.349,1424.651,0.0,13191.67,47555.0,97.4,0.3350533,80.542157856883,,4152.32875,,3.1,,908226.875,898027.0,0.0,128.11868,,,,,2.73781391927784,1.0,8.2776,,,,98.23859,100.751,98.47974,,,,0.604,,
1998-11-01,152.68308,86.2689,,,,0.0,,,1.5403947368421052,99.4440326475285,,127.06006,,,,,,1.0,,,,109.28923,,,,,1.0,,,,120.28947368421052,95.26,86.5115,0.29,,4.4,,,0.0,,,102.7,,80.5196972941512,,,,3.0,,,,0.0,51.11583,,,,,,1.0,8.2782,,,,98.35602,100.7913,98.70814,,,,0.7,,
1998-12-01,112.9367,87.63554,,,,0.0,,,1.5432727272727271,99.8754261671456,,127.40773,,,,,,1.0,,,,115.22246,,,,,1.0,,,,117.07090909090908,83.71,86.8615,0.14,,4.4,,,0.0,,,100.5,,81.189993477553,,,,3.1,,,,0.0,69.66882,,,,,,1.0,8.2787,,,,98.52223,100.7045,98.95245,,,,0.7560000000000002,,
1999-01-01,101.6886,88.61232,1.73484295105918,127570.0,100002.8,0.0,359045.0,35396.0,1.519442105263158,100.537153085783,7.583,111.26028,76.37446833333333,0.585433064230783,,139606.976513966,144431500000.0,0.0,5769.278,33526.0,0.938283072395283,115.46795,101.6937,-0.341296928327554,4.875,-11281.5,1.0,470009.9,31669.0,55600.7,113.29,89.71,87.2205,0.11,2.18802719697358,4.3,1185.37,1464.906,0.0,13315.597,47880.0,103.9,0.11956,81.2999737757351,16.5856169707538,4188.282,9.5604,2.6,9264.97729259968,921707.3125,901576.625,0.0,123.66965,117.9,-1.40147268276465,1646905.70661396,2640307.71754029,2.49896677223235,1.0,8.2778,3.25,873.292336318005,2553.3325872784303,98.69925,100.6122,99.14474,,,,1.319,,
1999-02-01,67.56765,88.52818,,,,0.0,,,1.497742105263158,100.910851900412,,104.85598,,,,,,0.0,,,,95.82669,,,,,1.0,,,,116.66842105263156,65.29,87.726,0.12,,4.4,,,0.0,,,108.1,,81.3314380099013,,,,3.1,,,,0.0,98.32405,102.1,,,,,1.0,8.2789,,,,98.79135,100.5034,99.23258,,,,1.829,,
1999-03-01,30.09706,88.19736,,,,0.0,,,1.5175695652173913,100.981802986069,,65.63091,,,,,,0.0,,,,62.84663,,,,,1.0,,,,119.47304347826088,56.36,87.9125,0.18,,4.2,,,0.0,,,105.7,,81.4856974856099,,,,2.7,,,,0.0,82.27813,109.0,,,,,1.0,8.28,,,,98.81456,100.2892,99.26108,,,,1.583,,
1999-04-01,45.12118,88.7358,,127750.0,101878.8,0.0,362006.3,,1.4881,100.865229781226,,95.32922,,,,144004.488621656,152027600000.0,0.0,5761.963000000001,,,102.23624,,,,,1.0,,,56634.3,119.77227272727274,50.69,88.1082,0.21,,4.3,1200.094,1506.978,0.0,13426.748,48148.0,104.6,0.1137915,82.1924310621899,,4219.51,,2.8,,980454.875,903062.125,0.0,16.56603,109.1,,,,1.70822870392663,1.0,8.2794,,,,98.87382,100.0647,99.285,,,,1.487,,
1999-05-01,57.52396,88.5704,,,,0.0,,,1.46111,100.735347702133,,87.84144,,,,,,0.0,,,,66.22225,,,,,0.0,,,,121.99949999999998,48.12,88.6483,0.29,,4.2,,,0.0,,,106.8,,81.4953926119578,,,,2.6,,,,0.0,116.03939,108.9,,,,,1.0,8.2786,,,,99.00122,99.91917,99.34031,,,,1.263,,
