date,YS_GER
2007-02-01,0.10496
2007-02-01,0.093299
2007-02-01,0.09395
2007-02-01,0.119409
2007-03-01,0.115108
2007-03-01,0.129983
2007-03-01,0.121933
2007-03-01,0.096114
2007-03-01,0.097377
2007-03-01,0.082138
2007-03-01,0.077998
2007-03-01,0.061816
2007-03-01,0.046473
2007-03-01,0.047006
2007-03-01,0.046933
2007-03-01,0.043021
2007-03-01,0.028052
2007-03-01,0.019862
2007-03-01,0.027318
2007-03-01,0.045288
2007-03-01,0.07741
2007-03-01,0.083696
2007-03-01,0.081848
2007-03-01,0.09393
2007-03-01,0.085695
2007-03-01,0.076509
2007-04-01,0.060002
2007-04-01,0.085843
2007-04-01,0.089041
2007-04-01,0.09308
2007-04-01,0.097908
2007-04-01,0.095355
2007-04-01,0.109618
2007-04-01,0.12732
2007-04-01,0.118057
2007-04-01,0.112029
2007-04-01,0.08661
2007-04-01,0.094915
2007-04-01,0.108435
2007-04-01,0.100726
2007-04-01,0.089705
2007-04-01,0.091743
2007-04-01,0.089236
2007-04-01,0.096962
2007-04-01,0.066789
2007-05-01,0.074288
2007-05-01,0.073826
2007-05-01,0.07836
2007-05-01,0.079246
2007-05-01,0.065024
2007-05-01,0.072956
2007-05-01,0.07691
2007-05-01,0.069266
2007-05-01,0.09155
2007-05-01,0.090601
2007-05-01,0.078212
2007-05-01,0.067304
2007-05-01,0.067526
2007-05-01,0.073222
2007-05-01,0.075493
2007-05-01,0.061756
2007-05-01,0.079942
2007-05-01,0.071353
2007-05-01,0.06818
2007-05-01,0.058478
2007-05-01,0.061334
2007-05-01,0.058148
2007-06-01,0.049642
2007-06-01,0.052345
2007-06-01,0.065277
2007-06-01,0.090641
2007-06-01,0.111629
2007-06-01,0.149337
2007-06-01,0.144298
2007-06-01,0.160402
2007-06-01,0.180195
2007-06-01,0.177476
2007-06-01,0.199352
2007-06-01,0.204753
2007-06-01,0.199959
2007-06-01,0.179858
2007-06-01,0.193665
2007-06-01,0.208771
2007-06-01,0.199317
2007-06-01,0.190201
2007-06-01,0.15111
2007-06-01,0.14162
2007-06-01,0.125587
2007-07-01,0.110491
2007-07-01,0.127936
2007-07-01,0.145009
2007-07-01,0.161817
2007-07-01,0.16844
2007-07-01,0.171107
2007-07-01,0.147777
2007-07-01,0.137082
2007-07-01,0.142433
2007-07-01,0.130919
2007-07-01,0.128474
2007-07-01,0.115084
2007-07-01,0.106868
2007-07-01,0.094589
2007-07-01,0.053823
2007-07-01,0.047463
2007-07-01,0.05286
2007-07-01,0.054212
2007-07-01,0.061226
2007-07-01,0.073853
2007-07-01,0.079182
2007-07-01,0.079079
2007-08-01,0.081409
2007-08-01,0.073033
2007-08-01,0.072486
2007-08-01,0.090613
2007-08-01,0.086502
2007-08-01,0.089299
2007-08-01,0.114396
2007-08-01,0.180312
2007-08-01,0.184674
2007-08-01,0.18858
2007-08-01,0.232571
2007-08-01,0.315803
2007-08-01,0.367898
2007-08-01,0.356377
2007-08-01,0.429402
2007-08-01,0.301244
2007-08-01,0.304577
2007-08-01,0.277477
2007-08-01,0.255811
2007-08-01,0.287227
2007-08-01,0.2943
2007-08-01,0.297198
2007-08-01,0.292376
2007-09-01,0.27893
2007-09-01,0.284248
2007-09-01,0.298468
2007-09-01,0.303303
2007-09-01,0.360333
2007-09-01,0.327779
2007-09-01,0.298983
2007-09-01,0.280299
2007-09-01,0.255213
2007-09-01,0.251977
2007-09-01,0.243142
2007-09-01,0.233219
2007-09-01,0.28998
2007-09-01,0.313773
2007-09-01,0.360847
2007-09-01,0.368418
2007-09-01,0.355215
2007-09-01,0.375756
2007-09-01,0.360685
2007-09-01,0.346402
2007-10-01,0.375663
2007-10-01,0.358515
2007-10-01,0.350078
2007-10-01,0.351685
2007-10-01,0.368183
2007-10-01,0.360589
2007-10-01,0.326483
2007-10-01,0.321906
2007-10-01,0.326261
2007-10-01,0.286155
2007-10-01,0.251147
2007-10-01,0.287148
2007-10-01,0.294918
2007-10-01,0.294168
2007-10-01,0.298618
2007-10-01,0.267312
2007-10-01,0.26076
2007-10-01,0.279733
2007-10-01,0.290009
2007-10-01,0.28618
2007-10-01,0.27273
2007-10-01,0.261051
2007-10-01,0.230369
2007-11-01,0.24481
2007-11-01,0.256191
2007-11-01,0.258482
2007-11-01,0.269418
2007-11-01,0.270376
2007-11-01,0.301446
2007-11-01,0.32566
2007-11-01,0.299626
2007-11-01,0.301796
2007-11-01,0.286512
2007-11-01,0.311066
2007-11-01,0.328921
2007-11-01,0.349139
2007-11-01,0.358756
2007-11-01,0.39926
2007-11-01,0.433419
2007-11-01,0.418902
2007-11-01,0.399223
2007-11-01,0.406048
2007-11-01,0.419928
2007-11-01,0.419382
2007-11-01,0.39365
2007-12-01,0.405814
2007-12-01,0.388202
2007-12-01,0.393767
2007-12-01,0.388917
2007-12-01,0.377033
2007-12-01,0.375826
2007-12-01,0.365117
2007-12-01,0.385903
2007-12-01,0.350403
2007-12-01,0.335385
2007-12-01,0.348427
2007-12-01,0.344254
