date,China_EPU_Index,Industrial_Production,Inflation,Real_Imports,Real_Exports,Exports_Value,Imports_Value,Net_Trade_Value,Recession_Indicator,Real_GDP,Discount_Rate,Exchange_Rate_USD,Unemployment_Rate,GDP_Per_Capita
1987-12-01,,,,,,,,,0.0,,,3.7221,,
1988-01-01,,,18.8118179448753,315248.347180353,448714.090420124,,,,0.0,,,3.7221,,283.537695240524
1988-02-01,,,,,,,,,0.0,,,3.7221,,
1988-03-01,,,,,,,,,0.0,,,3.7221,,
1988-04-01,,,,,,,,,0.0,,,3.7221,,
1988-05-01,,,,,,,,,0.0,,,3.7221,,
1988-06-01,,,,,,,,,0.0,,,3.7221,,
1988-07-01,,,,,,,,,0.0,,,3.7221,,
1988-08-01,,,,,,,,,0.0,,,3.7221,,
1988-09-01,,,,,,,,,1.0,,,3.7221,,
1988-10-01,,,,,,,,,1.0,,,3.7221,,
1988-11-01,,,,,,,,,1.0,,,3.7221,,
1988-12-01,,,,,,,,,1.0,,,3.7221,,
1989-01-01,,,18.2456383621648,374649.126470246,526518.103765765,,,,1.0,,,3.7221,,310.8819124049
1989-02-01,,,,,,,,,1.0,,,3.7221,,
1989-03-01,,,,,,,,,1.0,,,3.7221,,
1989-04-01,,,,,,,,,1.0,,,3.7221,,
1989-05-01,,,,,,,,,1.0,,,3.7221,,
1989-06-01,,,,,,,,,1.0,,,3.7221,,
1989-07-01,,,,,,,,,1.0,,,3.7221,,
1989-08-01,,,,,,,,,1.0,,,3.7221,,
1989-09-01,,,,,,,,,1.0,,,3.7221,,
1989-10-01,,,,,,,,,1.0,,,3.7221,,
1989-11-01,,,,,,,,,1.0,,,3.7221,,
1989-12-01,,,,,,,,,1.0,,,4.7221,,
1990-01-01,,,3.05229012075233,385368.37430415,592936.081525476,,,,1.0,,,4.7221,,317.884673040928
1990-02-01,,,,,,,,,1.0,,,4.7221,,
1990-03-01,,,,,,,,,1.0,,9.0,4.7221,,
1990-04-01,,,,,,,,,1.0,,9.0,4.7221,,
1990-05-01,,,,,,,,,1.0,,9.0,4.7221,,
1990-06-01,,,,,,,,,0.0,,9.0,4.7221,,
1990-07-01,,,,,,,,,0.0,,9.0,4.7221,,
1990-08-01,,,,,,,,,0.0,,7.92,4.7221,,
1990-09-01,,,,,,,,,0.0,,7.92,4.7221,,
1990-10-01,,,,,,,,,0.0,,7.92,4.7221,,
1990-11-01,,,,,,,,,0.0,,7.92,5.2221,,
1990-12-01,,,,,,,,,0.0,,7.92,5.2221,,
1991-01-01,,,3.55668565220452,466159.751949044,690034.452480074,,,,0.0,,7.92,5.2221,2.37,333.142145400184
1991-02-01,,,,,,,,,0.0,,7.92,5.2221,,
1991-03-01,,,,,,,,,0.0,,7.92,5.2221,,
1991-04-01,,,,,,,,,0.0,,7.2,5.2875,,
1991-05-01,,,,,,,,,0.0,,7.2,5.3357,,
1991-06-01,,,,,,,,,0.0,,7.2,5.3556,,
1991-07-01,,,,,,,,,0.0,,7.2,5.3471,,
1991-08-01,,,,,,,,,0.0,,7.2,5.3628,,
1991-09-01,,,,,,,,,0.0,,7.2,5.3765,,
1991-10-01,,,,,,,,,0.0,,7.2,5.3809,,
1991-11-01,,,,,,,,,0.0,,7.2,5.3858,,
1991-12-01,,,,,,,,,0.0,,7.2,5.4342,,
1992-01-01,,,6.35398134024869,628471.847858407,839641.693525664,18.8680308320533,17.4343120890741,1.43371874297929,0.0,,7.2,5.455,2.37,366.460692306116
1992-02-01,,,,,,,,,0.0,,7.2,5.4693,,
1992-03-01,,,,,,,,,0.0,,7.2,5.4675,,
1992-04-01,,,,,,17.3956137850356,16.0973455299747,1.29826825506092,0.0,,7.2,5.5101,,
1992-05-01,,,,,,,,,0.0,,7.2,5.4866,,
1992-06-01,,,,,,,,,0.0,,7.2,5.4621,,
1992-07-01,,,,,,16.2778044512615,14.7263578443697,1.55144660689176,0.0,,7.2,5.42,,
1992-08-01,,,,,,,,,0.0,,7.2,5.4064,,
1992-09-01,,,,,,,,,0.0,,7.2,5.5002,,
1992-10-01,,,,,,15.6921879921669,14.7988057988432,0.893382193323718,0.0,,7.2,5.5545,,
1992-11-01,,,,,,,,,0.0,,7.2,5.7198,,
1992-12-01,,,,,,,,,0.0,,7.2,5.7518,,
1993-01-01,,,14.6100786356602,866404.504490642,1066059.86689027,16.2921679777874,18.1100898649608,-1.81792188717341,0.0,,7.2,5.775,2.69,377.3898394789
1993-02-01,,,,,,,,,0.0,,7.2,5.7402,,
1993-03-01,,,,,,,,,0.0,,7.2,5.719,,
1993-04-01,,,,,,14.463036760621,15.9305865166744,-1.46754975605334,0.0,,7.2,5.7084,,
1993-05-01,,,,,,,,,0.0,,8.46,5.729,,
1993-06-01,,,,,,,,,0.0,,8.46,5.7612,,
1993-07-01,,,,,,14.6136173000496,16.4635672302614,-1.84994993021178,0.0,,10.08,5.7612,,
1993-08-01,,,,,,,,,0.0,,10.08,5.7918,,
1993-09-01,,,,,,,,,0.0,,10.08,5.7868,,
1993-10-01,,,,,,13.2423232727201,14.4051779480386,-1.16285467531846,0.0,,10.08,5.7868,,
1993-11-01,,,,,,,,,0.0,,10.08,5.805,,
1993-12-01,,,,,,,,,0.0,,10.08,5.8,,
1994-01-01,,,24.2569897243361,943918.591749598,1384530.52148285,21.1819679319824,24.196217924918,-3.01424999293552,0.0,,10.08,8.7,2.9,473.489916407064
1994-02-01,,,,,,,,,0.0,,10.08,8.7044,,
1994-03-01,,,,,,,,,0.0,,10.08,8.708,,
1994-04-01,,,,,,21.95285715777,21.5780803071714,0.374776850598595,0.0,,10.08,8.6847,,
1994-05-01,,,,,,,,,0.0,,10.08,8.6597,,
1994-06-01,,,,,,,,,0.0,,10.08,8.6526,,
1994-07-01,,,,,,20.4378696617128,19.0560459024915,1.38182375922126,0.0,,10.08,8.6197,,
1994-08-01,,,,,,,,,0.0,,10.08,8.5616,,
1994-09-01,,,,,,,,,1.0,,10.08,8.5301,,
1994-10-01,,,,,,20.0008649538872,16.8933442255421,3.10752072834511,1.0,,10.08,8.5266,,
1994-11-01,,,,,,,,,1.0,,10.08,8.5093,,
1994-12-01,,,,,,,,,1.0,,10.08,8.4462,,
