date,10YS_CAN,2YS_CAN,Spread
2013-06-01,2.2445,1.23,1.0145
2013-07-01,2.43818181818182,1.15,1.2881818181818199
2013-08-01,2.61142857142857,1.2,1.41142857142857
2013-09-01,2.698,1.21,1.488
2013-10-01,2.51818181818182,1.1,1.4181818181818198
2013-11-01,2.5585,1.1,1.4585
2013-12-01,2.6735,1.13,1.5435000000000003
2014-01-01,2.53409090909091,0.96,1.57409090909091
2014-02-01,2.42,1.0,1.42
2014-03-01,2.4542857142857097,1.06,1.3942857142857097
2014-04-01,2.4447619047619,1.06,1.3847619047618998
2014-05-01,2.3152380952381,1.04,1.2752380952381
2014-06-01,2.2985714285714303,1.11,1.1885714285714302
2014-07-01,2.19454545454545,1.1,1.0945454545454498
2014-08-01,2.062,1.1,0.9619999999999997
2014-09-01,2.18095238095238,1.14,1.04095238095238
2014-10-01,2.01045454545455,1.04,0.9704545454545501
2014-11-01,2.00315789473684,1.0,1.00315789473684
2014-12-01,1.85190476190476,1.01,0.8419047619047599
2015-01-01,1.5257142857142902,0.44,1.0857142857142903
2015-02-01,1.37947368421053,0.47,0.90947368421053
2015-03-01,1.42136363636364,0.49,0.93136363636364
2015-04-01,1.41095238095238,0.68,0.73095238095238
2015-05-01,1.744,0.63,1.1139999999999999
2015-06-01,1.78,0.6,1.1800000000000002
2015-07-01,1.56954545454545,0.46,1.10954545454545
2015-08-01,1.3915,0.39,1.0015
2015-09-01,1.4814285714285702,0.53,0.9514285714285702
2015-10-01,1.46333333333333,0.54,0.92333333333333
2015-11-01,1.6335,0.63,1.0034999999999998
2015-12-01,1.45952380952381,0.48,0.9795238095238099
2016-01-01,1.258,0.42,0.8380000000000001
2016-02-01,1.1245,0.49,0.6345000000000001
2016-03-01,1.26818181818182,0.53,0.73818181818182
2016-04-01,1.33619047619048,0.68,0.6561904761904799
2016-05-01,1.35,0.63,0.7200000000000001
2016-06-01,1.16818181818182,0.54,0.62818181818182
2016-07-01,1.051,0.58,0.471
2016-08-01,1.04272727272727,0.58,0.4627272727272701
2016-09-01,1.08619047619048,0.51,0.5761904761904799
2016-10-01,1.1665,0.56,0.6065
2016-11-01,1.4376190476190502,0.7,0.7376190476190503
2016-12-01,1.732,0.78,0.952
2017-01-01,1.72238095238095,0.82,0.90238095238095
2017-02-01,1.70210526315789,0.78,0.9221052631578899
2017-03-01,1.7143478260869598,0.72,0.9943478260869598
2017-04-01,1.52315789473684,0.74,0.78315789473684
2017-05-01,1.5131818181818202,0.69,0.8231818181818202
2017-06-01,1.50272727272727,1.04,0.46272727272727
2017-07-01,1.908,1.28,0.6279999999999999
2017-08-01,1.88363636363636,1.24,0.64363636363636
2017-09-01,2.0495,1.58,0.46950000000000003
2017-10-01,2.05095238095238,1.46,0.59095238095238
2017-11-01,1.91857142857143,1.43,0.48857142857143
2017-12-01,1.91526315789474,1.66,0.2552631578947402
2018-01-01,2.19818181818182,1.84,0.35818181818181993
2018-02-01,2.32421052631579,1.78,0.5442105263157899
2018-03-01,2.18857142857143,1.8,0.3885714285714299
2018-04-01,2.24904761904762,1.93,0.3190476190476199
2018-05-01,2.37545454545455,1.92,0.45545454545455
2018-06-01,2.20904761904762,1.77,0.4390476190476198
2018-07-01,2.18714285714286,2.05,0.13714285714286012
2018-08-01,2.29545454545455,2.14,0.15545454545454973
2018-09-01,2.35368421052632,2.19,0.16368421052631987
2018-10-01,2.48863636363636,2.33,0.15863636363636013
2018-11-01,2.40761904761905,2.21,0.19761904761905003
2018-12-01,2.05789473684211,1.91,0.14789473684211019
2019-01-01,1.95363636363636,1.82,0.13363636363636
2019-02-01,1.90736842105263,1.77,0.13736842105263003
2019-03-01,1.71238095238095,1.46,0.25238095238094993
2019-04-01,1.7242857142857098,1.51,0.21428571428570975
2019-05-01,1.66285714285714,1.53,0.1328571428571399
2019-06-01,1.4625,1.46,0.0024999999999999467
2019-07-01,1.51909090909091,1.55,-0.03090909090909011
2019-08-01,1.2052380952381,1.33,-0.12476190476189997
2019-09-01,1.364,1.58,-0.21599999999999997
2019-10-01,1.4495454545454498,1.56,-0.11045454545455025
2019-11-01,1.4995,1.6,-0.10050000000000003
2019-12-01,1.6045,1.67,-0.06549999999999989
2020-01-01,1.49227272727273,1.47,0.02227272727273011
2020-02-01,1.29473684210526,1.32,-0.025263157894739985
2020-03-01,0.8190909090909091,0.62,0.1990909090909091
2020-04-01,0.6571428571428571,0.32,0.33714285714285713
2020-05-01,0.551,0.3,0.25100000000000006
2020-06-01,0.561363636363636,0.3,0.26136363636363596
2020-07-01,0.5163636363636359,0.26,0.2563636363636359
2020-08-01,0.5635,0.29,0.2735
2020-09-01,0.5595238095238101,0.25,0.3095238095238101
2020-10-01,0.6028571428571429,0.24,0.3628571428571429
2020-11-01,0.6885,0.27,0.4185
2020-12-01,0.730952380952381,0.2,0.5309523809523811
2021-01-01,0.8055,0.16,0.6455
2021-02-01,1.0994736842105302,0.23,0.8694736842105302
2021-03-01,1.49652173913043,0.22,1.27652173913043
2021-04-01,1.51619047619048,0.31,1.20619047619048
2021-05-01,1.524,0.31,1.214
2021-06-01,1.425,0.45,0.9750000000000001
2021-07-01,1.25142857142857,0.45,0.80142857142857
2021-08-01,1.19190476190476,0.45,0.7419047619047601
2021-09-01,1.263,0.53,0.7329999999999999
2021-10-01,1.597,1.07,0.5269999999999999
2021-11-01,1.6857142857142902,1.05,0.6357142857142901
2021-12-01,1.45,0.99,0.45999999999999996
2022-01-01,1.759,1.26,0.4989999999999999
2022-02-01,1.87947368421053,1.57,0.3094736842105299
2022-03-01,2.13217391304348,2.31,-0.17782608695652025
2022-04-01,2.704,2.5,0.20400000000000018
2022-05-01,2.9185714285714304,2.53,0.38857142857143057
2022-06-01,3.31545454545455,3.14,0.17545454545454975
