date,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX
2005-03-01,,87.7343994683679,,,9.88,10.26,,3.800595,,,,0.0,4.386
2005-04-01,0.3203588,87.7871046539186,,4687.1855,10.3,10.41,,3.808772,,1424302.75,1217155.125,0.0,4.6
2005-05-01,,88.7882086939371,,,10.18,9.84,,3.618296,,,,0.0,4.599
2005-06-01,,87.5599490520089,,,9.71,9.56,,3.809615,,,,0.0,4.332
2005-07-01,0.2772387,86.3012844800584,,4735.815,9.59,9.37,,3.772067,,1437224.0,1224003.75,0.0,4.466
2005-08-01,,88.5640757134116,,,9.63,9.4,,3.42065,,,,0.0,3.949
2005-09-01,,89.1978139585131,,,8.94,8.5,,3.460462,,,,0.0,3.51
2005-10-01,0.3638254,89.5100896529283,,4823.535,8.81,8.85,,3.42925,,1537124.25,1301967.625,0.0,3.05
2005-11-01,,90.7966827973593,,,8.55,8.73,,3.16821,,,,0.0,2.914
2005-12-01,,91.8835552287672,,,7.92,8.45,,3.179806,,,,0.0,3.333
2006-01-01,0.3014227,92.1154495203988,3.62946762439132,4917.8525,7.7,8.25,10.8992,3.3455699999999995,9813.8280424425,1560315.625,1344538.875,0.0,3.935000000000001
2006-02-01,,91.5715079814328,,,7.52,8.21,,3.639973,,,,0.0,3.748
2006-03-01,,92.4879746429804,,,7.57,8.25,,3.619574,,,,0.0,3.412
2006-04-01,0.5045692,92.554100791278,,4960.856,7.71,8.57,,3.406853,,1576486.875,1369364.125,0.0,3.197
2006-05-01,,93.6034081088346,,,7.44,8.81,,3.160638,,,,0.0,2.996
2006-06-01,,93.5685636187884,,,7.56,9.73,,3.475124,,,,0.0,3.184
2006-07-01,0.5072995,93.5481584766264,,4973.2915,7.51,8.69,,3.633009,,1567588.875,1340461.75,0.0,3.063
2006-08-01,,93.8891204738838,,,7.48,8.08,,3.783796,,,,0.0,3.466
2006-09-01,,93.654446925119,,,7.53,8.23,,3.694484,,,,0.0,4.093
2006-10-01,0.3377808,93.5988081974584,,4990.8565,7.5,8.4,,3.749689,,1561430.75,1327450.25,0.0,4.292
2006-11-01,,93.8461569599811,,,7.28,7.88,,3.792174,,,,0.0,4.09
2006-12-01,,92.8686043329687,,,7.27,7.56,,3.871439,,,,0.0,4.053
2007-01-01,0.2182215,93.0567892541225,3.96684905458235,5025.593,7.46,7.43,10.9282,3.750536,9877.69532644737,1600384.625,1335892.5,0.0,3.981
2007-02-01,,93.6688352402053,,,7.38,7.96,,3.959435,,,,0.0,4.112
2007-03-01,,94.7031963231826,,,7.52,7.82,,4.188244999999999,,,,0.0,4.207000000000001
2007-04-01,0.3856112,94.4978647192844,,5059.044,7.38,7.62,,3.698499,,1645939.5,1362867.625,0.0,3.992
2007-05-01,,94.480372608273,,,7.6,7.7,,3.541114,,,,0.0,3.948
2007-06-01,,94.5152699667559,,,7.58,7.56,,3.407343,,,,0.0,3.983
2007-07-01,0.2897543,94.3902739509411,,5077.421,7.51,7.62,,3.642828,,1682808.125,1426779.75,0.0,4.139
2007-08-01,,93.9238920350857,,,7.63,7.9,,3.654332,,,,0.0,4.032
2007-09-01,,94.4949155890835,,,7.7,7.88,,3.598567,,,,0.0,3.792
2007-10-01,0.3478866,94.1879060201388,,5089.5545,7.65,,,3.772121,,1691096.25,1390005.375,0.0,3.743
2007-11-01,,93.4970142898212,,,7.88,7.93,,3.648231,,,,0.0,3.93
2007-12-01,,94.0803987853011,,,7.85,8.09,,3.785264,,,,0.0,3.759
2008-01-01,0.0,93.8900310081428,5.12498274575896,5091.4525,7.82,7.65,11.1297,3.793319,9826.3421836048,1711795.875,1376869.375,0.0,3.704
2008-02-01,,95.6230686835463,,,7.43,,,3.838361,,,,0.0,3.723
2008-03-01,,93.9029205661403,,,7.5,7.53,,4.032219,,,,0.0,4.249
2008-04-01,0.0,93.6920892869737,,5125.3745,7.6,7.72,,3.704698000000001,,1738704.875,1344722.25,0.0,4.549
2008-05-01,,93.8792585934319,,,7.85,,,3.518595,,,,0.0,4.948
2008-06-01,,94.9771472230106,,,7.89,8.25,,3.678976,,,,1.0,5.255
2008-07-01,0.0,93.1464454793343,,5130.8955,8.65,9.26,,3.819907,,1790313.0,1322242.125,1.0,5.394
2008-08-01,,93.1775389157646,,,8.72,8.55,,3.883679,,,,1.0,5.573
2008-09-01,,92.4062017118016,,,8.66,,,3.958806,,,,1.0,5.473
2008-10-01,0.1046353,92.5415349416869,,5048.74,8.37,8.5,,3.994609,,1609994.75,1342095.75,1.0,5.779999999999999
2008-11-01,,91.0018232050644,,,8.51,9.82,,4.656784,,,,1.0,6.2330000000000005
2008-12-01,,89.9021070631884,,,8.07,7.99,,4.814342,,,,1.0,6.5280000000000005
2009-01-01,0.1967342,85.2789284107284,5.29735584228856,4736.727,7.24,,13.5135,4.783286,9074.1188145564,1373100.375,1228864.25,1.0,6.282
