date,10YS_GER,2YS_GER,Spread
2006-12-01,3.77052631578947,3.7922,-0.021673684210529842
2007-01-01,4.01681818181818,3.9335,0.08331818181817985
2007-02-01,4.049,3.9522,0.09680000000000044
2007-03-01,3.94090909090909,3.9393,0.0016090909090902272
2007-04-01,4.1521052631579,4.1072,0.04490526315789989
2007-05-01,4.2790476190476205,4.258,0.021047619047620536
2007-06-01,4.560476190476191,4.4541,0.1063761904761904
2007-07-01,4.505,4.4836,0.021399999999999864
2007-08-01,4.29652173913043,4.186,0.11052173913043006
2007-09-01,4.226,4.0984,0.12760000000000016
2007-10-01,4.28260869565217,4.1084,0.17420869565217068
2007-11-01,4.08909090909091,3.9406,0.1484909090909099
2007-12-01,4.20588235294118,4.0573,0.1485823529411805
2008-01-01,4.02772727272727,3.7376,0.2901272727272697
2008-02-01,3.95285714285714,3.3991,0.5537571428571404
2008-03-01,3.79947368421053,3.5431,0.25637368421053
2008-04-01,4.04,3.8634,0.1766000000000001
2008-05-01,4.20190476190476,4.1346,0.06730476190475976
2008-06-01,4.520476190476191,4.724,-0.20352380952380944
2008-07-01,4.4904347826087,4.6128,-0.12236521739129991
2008-08-01,4.202380952380951,4.2612,-0.05881904761904888
2008-09-01,4.09409090909091,4.0946,-0.0005090909090901263
2008-10-01,3.8834782608695697,3.2713,0.6121782608695696
2008-11-01,3.5565,2.7974,0.7591000000000001
2008-12-01,3.0478947368421103,2.6226,0.4252947368421105
2009-01-01,3.0709523809523795,2.1321,0.9388523809523797
2009-02-01,3.1275,1.814,1.3135
2009-03-01,3.01954545454545,1.7397,1.27984545454545
2009-04-01,3.133,1.7108,1.4222
2009-05-01,3.3710000000000004,1.5453,1.8257000000000005
2009-06-01,3.47363636363636,1.6727,1.80093636363636
2009-07-01,3.33782608695652,1.3804,1.9574260869565199
2009-08-01,3.3052380952381,1.427,1.8782380952381001
2009-09-01,3.26318181818182,1.2771,1.98608181818182
2009-10-01,3.20909090909091,1.3896,1.81949090909091
2009-11-01,3.21714285714286,1.335,1.8821428571428602
2009-12-01,3.1385,1.3795,1.7590000000000001
2010-01-01,3.2575,1.4992,1.7582999999999998
2010-02-01,3.17,1.625,1.545
2010-03-01,3.10217391304348,1.3987,1.70347391304348
2010-04-01,3.0645,1.7382,1.3262999999999998
2010-05-01,2.73428571428571,1.8396,0.8946857142857101
2010-06-01,2.54318181818182,1.8133,0.7298818181818203
2010-07-01,2.61590909090909,1.7939,0.8220090909090898
2010-08-01,2.35,1.6824,0.6676000000000002
2010-09-01,2.3004545454545497,1.8277,0.47275454545454965
2010-10-01,2.34571428571429,1.6022,0.74351428571429
2010-11-01,2.53272727272727,2.0049,0.5278272727272699
2010-12-01,2.9147619047619,2.2204,0.6943619047618999
2011-01-01,3.0166666666666697,2.2655,0.7511666666666699
2011-02-01,3.199,2.4576,0.7414000000000001
2011-03-01,3.2117391304347795,2.8201,0.3916391304347795
2011-04-01,3.3405263157894702,3.3228,0.01772631578947026
2011-05-01,3.06090909090909,3.5823,-0.5213909090909099
2011-06-01,2.89090909090909,3.563,-0.67209090909091
2011-07-01,2.74380952380952,4.1432,-1.3993904761904803
2011-08-01,2.21347826086957,4.1814,-1.9679217391304302
2011-09-01,1.82909090909091,5.3561,-3.5270090909090897
2011-10-01,2.0023809523809497,6.3623,-4.359919047619051
2011-11-01,1.87409090909091,8.8254,-6.95130909090909
2011-12-01,1.9276190476190505,9.8754,-7.947780952380951
2012-01-01,1.82090909090909,11.4319,-9.61099090909091
2012-02-01,1.85190476190476,13.5479,-11.69599523809524
2012-03-01,1.83045454545455,6.1748,-4.344345454545451
2012-04-01,1.6242105263157902,1.6891,-0.06488947368420983
2012-05-01,1.33681818181818,1.7722,-0.4353818181818201
2012-06-01,1.30047619047619,2.1235,-0.82302380952381
2012-07-01,1.24227272727273,1.9131,-0.6708272727272699
2012-08-01,1.34173913043478,1.67,-0.3282608695652198
2012-09-01,1.4905,1.3149,0.17559999999999998
2012-10-01,1.46695652173913,1.3052,0.16175652173913013
2012-11-01,1.33590909090909,1.2109,0.12500909090908996
2012-12-01,1.2994117647058798,1.0408,0.2586117647058799
2013-01-01,1.51227272727273,0.9046,0.6076727272727301
2013-02-01,1.5435,1.1021,0.4414
2013-03-01,1.3545,1.0178,0.3367
2013-04-01,1.19619047619048,0.8709,0.32529047619048
2013-05-01,1.29409090909091,0.7602,0.5338909090909101
2013-06-01,1.5305,1.0548,0.4757
2013-07-01,1.5656521739130402,1.0414,0.5242521739130401
2013-08-01,1.735,1.0393,0.6957000000000002
2013-09-01,1.88809523809524,1.0698,0.81829523809524
2013-10-01,1.76217391304348,0.8934,0.86877391304348
2013-11-01,1.67714285714286,0.6441,1.0330428571428598
2013-12-01,1.79777777777778,0.6949,1.1028777777777798
2014-01-01,1.75590909090909,0.6081,1.1478090909090901
2014-02-01,1.5585,0.5249,1.0335999999999999
2014-03-01,1.5085714285714298,0.5041,1.0044714285714298
2014-04-01,1.4565,0.4601,0.9964
2014-05-01,1.32714285714286,0.4359,0.8912428571428601
2014-06-01,1.26428571428571,0.311,0.9532857142857101
2014-07-01,1.11434782608696,0.2473,0.86704782608696
2014-08-01,0.956190476190476,0.1827,0.7734904761904761
2014-09-01,0.921363636363636,0.1408,0.780563636363636
2014-10-01,0.7909090909090909,0.2198,0.5711090909090909
2014-11-01,0.7190000000000001,0.2294,0.4896000000000001
2014-12-01,0.588947368421053,0.2372,0.35174736842105303
2015-01-01,0.39,0.1588,0.23120000000000002
2015-02-01,0.302,0.0823,0.2197
2015-03-01,0.227272727272727,0.0095,0.21777272727272698
2015-04-01,0.122,-0.0406,0.1626
2015-05-01,0.55578947368421,-0.0251,0.58088947368421
2015-06-01,0.792727272727273,0.048,0.7447272727272729
2015-07-01,0.71,-0.0029,0.7129
2015-08-01,0.608571428571429,-0.0521,0.660671428571429
2015-09-01,0.654090909090909,-0.0376,0.6916909090909089
2015-10-01,0.518181818181818,-0.0979,0.616081818181818
2015-11-01,0.5161904761904761,-0.1438,0.6599904761904761
2015-12-01,0.5455,-0.141,0.6865
2016-01-01,0.4305,-0.2044,0.6349
2016-02-01,0.172857142857143,-0.2288,0.401657142857143
2016-03-01,0.1714285714285709,-0.2495,0.4209285714285709
2016-04-01,0.134285714285714,-0.241,0.375285714285714
2016-05-01,0.132857142857143,-0.2806,0.413457142857143
2016-06-01,-0.0168181818181818,-0.3098,0.29298181818181823
2016-07-01,-0.154285714285714,-0.3661,0.21181428571428598
2016-08-01,-0.131739130434783,-0.3766,0.244860869565217
2016-09-01,-0.0840909090909091,-0.4007,0.3166090909090909
2016-10-01,0.002,-0.3972,0.3992
2016-11-01,0.1890909090909089,-0.3064,0.49549090909090887
2016-12-01,0.2519047619047619,-0.4175,0.6694047619047618
2017-01-01,0.250909090909091,-0.4092,0.660109090909091
2017-02-01,0.258,-0.3848,0.6428
2017-03-01,0.3482608695652169,-0.3709,0.719160869565217
2017-04-01,0.225555555555556,-0.3465,0.572055555555556
2017-05-01,0.336363636363636,-0.3762,0.712563636363636
2017-06-01,0.25047619047619,-0.3907,0.64117619047619
2017-07-01,0.455714285714286,-0.3687,0.824414285714286
2017-08-01,0.346086956521739,-0.423,0.769086956521739
2017-09-01,0.347142857142857,-0.4242,0.771342857142857
2017-10-01,0.3725,-0.4166,0.7891
2017-11-01,0.308181818181818,-0.4783,0.7864818181818181
2017-12-01,0.296842105263158,-0.4637,0.760542105263158
2018-01-01,0.474545454545455,-0.3667,0.8412454545454551
2018-02-01,0.659,-0.3422,1.0012
2018-03-01,0.52952380952381,-0.3678,0.89732380952381
2018-04-01,0.48,-0.3889,0.8689
2018-05-01,0.45,-0.2495,0.6995
2018-06-01,0.3271428571428569,-0.116,0.4431428571428569
2018-07-01,0.274545454545455,-0.1846,0.45914545454545497
2018-08-01,0.290869565217391,-0.0388,0.329669565217391
2018-09-01,0.3705,-0.1128,0.4833
2018-10-01,0.399090909090909,0.0078,0.391290909090909
2018-11-01,0.314090909090909,-0.0453,0.359390909090909
2018-12-01,0.187058823529412,-0.1959,0.382958823529412
2019-01-01,0.132727272727273,-0.2328,0.36552727272727303
2019-02-01,0.0555,-0.1963,0.2518
2019-03-01,0.010952380952381,-0.272,0.282952380952381
2019-04-01,-0.0395,-0.2206,0.18109999999999998
2019-05-01,-0.134545454545455,-0.237,0.10245454545454499
2019-06-01,-0.315263157894737,-0.3389,0.023636842105262956
2019-07-01,-0.388260869565217,-0.4688,0.080539130434783
2019-08-01,-0.6490909090909089,-0.5376,-0.11149090909090897
2019-09-01,-0.594761904761905,-0.5652,-0.02956190476190501
2019-10-01,-0.469545454545455,-0.4865,0.016954545454545
2019-11-01,-0.352380952380952,-0.4195,0.06711904761904797
2019-12-01,-0.2994444444444439,-0.4323,0.13285555555555612
2020-01-01,-0.313636363636364,-0.4284,0.11476363636363601
2020-02-01,-0.466,-0.4854,0.019399999999999973
2020-03-01,-0.5413636363636359,-0.3006,-0.24076363636363596
2020-04-01,-0.4495,-0.1319,-0.3176
2020-05-01,-0.5165,-0.2422,-0.2743
2020-06-01,-0.4342857142857139,-0.3608,-0.07348571428571388
2020-07-01,-0.5230434782608699,-0.4262,-0.09684347826086992
2020-08-01,-0.5233333333333329,-0.4517,-0.07163333333333288
2020-09-01,-0.5240909090909089,-0.4964,-0.027690909090908933
2020-10-01,-0.6072727272727271,-0.5784,-0.02887272727272705
2020-11-01,-0.614761904761905,-0.6097,-0.005061904761904934
2020-12-01,-0.6185,-0.6297,0.011199999999999988
2021-01-01,-0.5835,-0.5873,0.0038000000000000256
2021-02-01,-0.4455,-0.5696,0.12409999999999999
2021-03-01,-0.364782608695652,-0.566,0.20121739130434796
