"date","price","Open","High","Low","Change %"
"11/01/1998","0.277","0.277","0.277","0.277","0.73%"
"12/01/1998","0.732","0.732","0.732","0.732","164.26%"
"01/01/1999","0.591","0.591","0.591","0.591","-19.26%"
"02/01/1999","0.288","0.288","0.288","0.288","-51.27%"
"03/01/1999","0.233","0.233","0.233","0.233","-19.10%"
"04/01/1999","0.076","0.076","0.076","0.076","-67.38%"
"05/01/1999","0.071","0.071","0.071","0.071","-6.58%"
"06/01/1999","0.403","0.403","0.403","0.403","467.61%"
"07/01/1999","0.295","0.295","0.295","0.295","-26.80%"
"08/01/1999","0.120","0.120","0.120","0.120","-59.32%"
"09/01/1999","0.210","0.210","0.210","0.210","75.00%"
"10/01/1999","0.135","0.135","0.135","0.135","-35.71%"
"11/01/1999","0.265","0.265","0.265","0.265","96.30%"
"12/01/1999","0.249","0.249","0.249","0.249","-6.04%"
"01/01/2000","0.296","0.296","0.296","0.296","18.88%"
"02/01/2000","0.289","0.289","0.289","0.289","-2.36%"
"03/01/2000","0.413","0.413","0.413","0.413","42.91%"
"04/01/2000","0.339","0.339","0.339","0.339","-17.92%"
"05/01/2000","0.294","0.294","0.294","0.294","-13.27%"
"06/01/2000","0.449","0.449","0.449","0.449","52.72%"
"07/01/2000","0.335","0.335","0.335","0.335","-25.39%"
"08/01/2000","0.534","0.534","0.534","0.534","59.40%"
"09/01/2000","0.600","0.600","0.600","0.600","12.36%"
"10/01/2000","0.489","0.489","0.489","0.489","-18.50%"
"11/01/2000","0.478","0.478","0.478","0.478","-2.25%"
"12/01/2000","0.470","0.470","0.470","0.470","-1.67%"
"01/01/2001","0.356","0.356","0.356","0.356","-24.26%"
"02/01/2001","0.220","0.220","0.220","0.220","-38.20%"
"03/01/2001","0.160","0.160","0.160","0.160","-27.27%"
"04/01/2001","0.105","0.105","0.105","0.105","-34.38%"
"05/01/2001","0.060","0.060","0.060","0.060","-42.86%"
"06/01/2001","0.080","0.080","0.080","0.080","33.33%"
"07/01/2001","0.110","0.110","0.110","0.110","37.50%"
"08/01/2001","0.085","0.085","0.085","0.085","-22.73%"
"09/01/2001","0.115","0.115","0.115","0.115","35.29%"
"10/01/2001","0.115","0.115","0.115","0.115","0.00%"
"11/01/2001","0.145","0.145","0.145","0.145","26.09%"
"12/01/2001","0.120","0.120","0.120","0.120","-17.24%"
"01/01/2002","0.140","0.140","0.140","0.140","16.67%"
"02/01/2002","0.125","0.125","0.125","0.125","-10.71%"
"03/01/2002","0.085","0.085","0.085","0.085","-32.00%"
"04/01/2002","0.065","0.065","0.065","0.065","-23.53%"
"05/01/2002","0.060","0.060","0.060","0.060","-7.69%"
"06/01/2002","0.085","0.085","0.085","0.085","41.67%"
"07/01/2002","0.060","0.060","0.060","0.060","-29.41%"
"08/01/2002","0.010","0.010","0.010","0.010","-83.33%"
"09/01/2002","0.060","0.060","0.060","0.060","500.00%"
"10/01/2002","0.045","0.045","0.045","0.045","-25.00%"
"11/01/2002","0.070","0.070","0.070","0.070","55.56%"
"12/01/2002","0.070","0.070","0.070","0.070","0.00%"
"01/01/2003","0.050","0.050","0.050","0.050","-28.57%"
"02/01/2003","0.050","0.050","0.050","0.050","0.00%"
"03/01/2003","0.070","0.070","0.070","0.070","40.00%"
"04/01/2003","0.050","0.050","0.050","0.050","-28.57%"
"05/01/2003","0.030","0.030","0.030","0.030","-40.00%"
"06/01/2003","0.105","0.030","0.105","0.025","250.00%"
"07/01/2003","0.080","0.120","0.150","0.080","-23.81%"
"08/01/2003","0.200","0.085","0.220","0.080","150.00%"
"09/01/2003","0.220","0.240","0.300","0.155","10.00%"
"10/01/2003","0.155","0.200","0.200","0.120","-29.55%"
"11/01/2003","0.125","0.170","0.180","0.110","-19.35%"
"12/01/2003","0.110","0.115","0.130","0.080","-12.00%"
"01/01/2004","0.085","0.115","0.115","0.080","-22.73%"
"02/01/2004","0.055","0.080","0.080","0.055","-35.29%"
"03/01/2004","0.145","0.050","0.160","0.050","163.64%"
"04/01/2004","0.160","0.135","0.175","0.135","10.34%"
"05/01/2004","0.145","0.160","0.160","0.120","-9.38%"
"06/01/2004","0.235","0.145","0.295","0.135","62.07%"
"07/01/2004","0.220","0.215","0.240","0.180","-6.38%"
"08/01/2004","0.160","0.230","0.235","0.135","-27.27%"
"09/01/2004","0.151","0.155","0.175","0.135","-5.63%"
"10/01/2004","0.125","0.155","0.175","0.110","-17.22%"
"11/01/2004","0.090","0.120","0.145","0.075","-28.00%"
"12/01/2004","0.117","0.085","0.117","0.055","30.00%"
"01/01/2005","0.091","0.100","0.145","0.075","-22.22%"
"02/01/2005","0.132","0.085","0.136","0.070","45.05%"
"03/01/2005","0.124","0.138","0.194","0.082","-6.06%"
"04/01/2005","0.067","0.110","0.125","0.049","-45.97%"
"05/01/2005","0.078","0.055","0.103","0.042","16.42%"
"06/01/2005","0.058","0.073","0.101","0.050","-25.64%"
"07/01/2005","0.102","0.069","0.124","0.052","75.86%"
"08/01/2005","0.133","0.113","0.210","0.100","30.39%"
"09/01/2005","0.267","0.133","0.282","0.105","100.75%"
"10/01/2005","0.313","0.268","0.338","0.244","17.23%"
"11/01/2005","0.236","0.320","0.380","0.227","-24.60%"
"12/01/2005","0.337","0.238","0.342","0.229","42.80%"
"01/01/2006","0.337","0.318","0.344","0.261","0.00%"
"02/01/2006","0.509","0.333","0.544","0.319","51.04%"
"03/01/2006","0.726","0.485","0.753","0.449","42.63%"
